gene_id	gene_name	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	MANIPULATED_REP1	MANIPULATED_REP2	MANIPULATED_REP3
HRA1	HRA1	0	0	0	0	0	0
snR18	snR18	4.16138265270866	1.43838427582624	5.64537127084765	19.7459622265307	0	9.86760695420291
tA(UGC)A	TGA1	0	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0	0
tP(UGG)A	TRN1	1.0227639333273	0	0	0	0	0
tS(AGA)A	tS(AGA)A	0	0	0	0	0	0
YAL001C	TFC3	30.3112076745351	30.3137241780866	30.3348921520181	70.0908522235585	52.314902094106	61.172780015903
YAL002W	VPS8	30.3460594073118	33.385090107634	25.30871838444	32.5383156043932	44.3649704736993	36.4624954786126
YAL003W	EFB1	551.605274430876	481.992971166923	655.159355129093	877.277019713287	873.92029388182	959.067098191925
YAL004W	YAL004W	0	0	1.02384093344105	0	0	0
YAL005C	SSA1	4141.55257032254	3822.27113485386	4143.89882328694	6079.87347225018	6134.04515071059	6644.49517880731
YAL007C	ERP2	30.9175375575944	25.2178357233867	41.1859355810079	60.2355763115346	64.5301758742317	77.403584931906
YAL008W	FUN14	2.78010635789194	6.46251940589172	2.77585548765627	18.5416687708789	15.2677306064598	10.9009270525374
YAL009W	SPO7	5.73272264744327	2.85992733940341	4.77546186823694	15.7565409950398	7.35214764613807	12.5983713934699
YAL010C	MDM10	13.8803075297956	15.851737067638	9.91857636571591	12.0878777442755	16.11518704756	20.1354965570104
YAL011W	SWC3	11.9845405611732	6.98808800843166	16.9874853810499	23.9859047790001	18.9865046394643	16.9807677082893
YAL012W	CYS3	172.883280833389	204.089221993764	225.979259391621	235.077902014097	286.942904547	257.326127035845
YAL013W	DEP1	9.835650882609	10.807761527588	9.83817062578878	18.2914637704113	21.3374151053833	14.2189500300346
YAL014C	SYN8	13.3574780096747	13.3267331268767	16.2132045773677	21.0437639266828	21.0411744285641	23.1355400998812
YAL015C	NTG1	0.982880443399991	6.87267856710827	5.89871435838118	12.2037199699857	16.2696243361955	12.1970771205485
YAL016C-A	YAL016C-A	0	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0	0
YAL016W	TPD3	92.9188179155741	100.871846288385	103.967507143466	159.834783771431	147.828981933679	176.720982607057
YAL017W	PSK1	52.636741456967	49.6080821741866	60.7843861209726	111.337548187625	95.5611790532357	110.292192198659
YAL018C	LDS1	0	0	0	0	0	0
YAL019W	FUN30	107.064110815593	80.8086573288592	83.8981738597834	109.616697077785	119.47737135237	115.479030990454
YAL019W-A	YAL019W-A	0	0	0	0	0	0
YAL020C	ATS1	7.78717779161155	3.88778330944791	1.94690567819575	8.2246484162961	6.16772725287573	12.3302572214278
YAL021C	CCR4	78.408886643498	56.2859193243725	78.4622678020701	101.234919626171	108.169101962677	93.2441427319212
YAL022C	FUN26	30.785465081993	22.8258954620331	26.8250121895456	36.1989907731774	41.2215553447064	45.2241082449577
YAL023C	PMT2	216.71213198877	213.655522064017	244.961777840716	321.236141349783	351.029114969816	305.157318416185
YAL024C	LTE1	35.4497148059831	33.4303197708506	46.6297195270077	51.2031335499768	52.181387324247	45.2704241961595
YAL025C	MAK16	29.0416814337709	18.3616057547281	20.3289295723844	30.0011952964421	31.0319002310037	26.8829821825694
YAL026C	DRS2	98.6481248963201	82.0162880839665	125.253854595406	163.559181947523	149.74478760607	160.50608614275
YAL026C-A	YAL026C-A	7.41547042046196	5.16551407495648	4.63539481462	13.1255383545673	8.35378848890262	14.3228258668365
YAL027W	SAW1	1.91221644178394	2.86196570192117	1.91151918216284	10.4958942098058	7.34622185693649	13.6372352750427
YAL028W	FRT2	1.98754172582261	1.98630074678215	3.97689630979088	8.03815330211654	6.02787312894457	13.0548890453951
YAL029C	MYO4	137.781853315857	106.396902579625	140.938724055998	174.242285130621	167.330754150655	185.954045896684
YAL030W	SNC1	6.34224049292607	5.50949726662039	6.301359735872	18.0199808607641	23.5616906671082	31.8641505461473
YAL031C	GIP4	21.0698159961036	14.0434897048823	15.0595490619463	39.7804004871136	24.8596908932247	46.7165275447658
YAL031W-A	YAL031W-A	0	0	0	0	0	0
YAL032C	PRP45	11.7649800435941	5.87547399338661	12.7478741465361	14.277478184104	17.3348044273151	20.3852950409797
YAL033W	POP5	6.33999228210673	9.92192245278691	6.32504686970193	13.481639412205	8.98665363757814	17.9657346081413
YAL034C	FUN19	5.90665341655207	4.91718364301282	5.90826806031412	16.2430569738013	21.3163889078956	23.3366846241815
YAL034C-B	YAL034C-B	0	0	0	0	0	0
YAL034W-A	MTW1	0	4.75121686104374	5.71169304938064	2.05290283357032	12.3159012757381	13.3366049146587
YAL035W	FUN12	384.162649545547	377.102527588714	391.510553143967	474.875607001654	443.162694022226	418.256335206078
YAL036C	RBG1	38.1835128028504	42.0471402168721	46.0237621200531	59.2406342993557	71.4885193115365	78.6042390437419
YAL037C-A	YAL037C-A	0	0	0	0	0	0
YAL037C-B	YAL037C-B	0	0	0	0	0.974682480192099	1.9485436497811
YAL037W	YAL037W	1.91599266194654	1.91189816133862	0.957689408887063	5.23579173227578	7.32920643132519	3.13976504273338
YAL038W	CDC19	5220.60031090754	4965.15781833408	6273.70434677949	6411.1629687609	6626.80471312431	6912.80068348688
YAL039C	CYC3	4.79301252973413	6.69604985875505	4.79153715924288	17.7885127812445	19.8788325449974	20.9162705403528
YAL040C	CLN3	22.9228739076955	26.8959544606419	35.8976650924658	44.0720723796675	32.0484721313064	60.0655671976848
YAL041W	CDC24	37.2077799406913	52.2857503672748	50.3153831911473	64.4871075857799	70.4310958868952	68.4182825488606
YAL042C-A	YAL042C-A	0	0	0	0	0	0
YAL042W	ERV46	80.7417451466272	84.5946426024799	100.462727845641	148.182443483415	134.971505646527	160.274532662653
YAL043C	PTA1	43.1716353285886	34.129259350144	44.2046192014191	66.5851923563225	68.5643719659099	65.5556801579821
YAL044C	GCV3	18.0512534424826	24.2655115989135	22.5087709539848	64.3376680908574	81.2586330336897	57.533947467072
YAL044W-A	YAL044W-A	1.52316069315358	3.78053994503853	2.26986439221395	4.49841827388217	11.9943059505126	8.99193930346758
YAL045C	YAL045C	0	0	0	0	0	0.974263936318895
YAL046C	AIM1	0.796657634748896	5.53700557780006	4.74956746104191	4.1209674714783	6.86743395750863	2.74581620387027
YAL047C	SPC72	6.99008973544379	11.9779853945876	13.9878734302115	23.9891881900549	20.9879567015311	18.9811030342568
YAL047W-A	YAL047W-A	0	0	0	0	0	0
YAL048C	GEM1	10.0018016771186	15.9972590782606	10.0076188555476	20.9546784458095	21.9498189420858	23.9351682096339
YAL049C	AIM2	16.1649096435195	15.1761055045242	11.4049564856822	39.0888915903253	31.689795882586	36.9558513932727
YAL051W	OAF1	35.3135473026548	45.4041623517	39.3790364871996	59.3188060246297	63.2656071162694	54.3459738986839
YAL053W	FLC2	69.2718495924923	64.2398639966084	65.2988515419949	128.208339099275	119.248895551874	141.051738795407
YAL054C	ACS1	1.00193344616846	4.00662484889888	1.00255062915141	4.97989355176246	1.99171228478451	4.97718283912825
YAL055W	PEX22	0	0.885662336773113	1.77509650198215	1.08422823120076	4.33637925820094	1.0836380568159
YAL056C-A	YAL056C-A	0	0	0	0	0	0
YAL056W	GPB2	31.1908727140572	40.2423946164662	38.2606885126671	48.5857161080727	60.4768160788892	71.352395975773
YAL058W	CNE1	20.8337202218981	17.8450407252554	25.8050400394047	27.1788943774089	29.1885536670716	20.1215556367528
YAL059C-A	YAL059C-A	0	0	0	0	0	0
YAL059W	ECM1	17.7700582176126	13.0522557551205	18.6860580855784	24.7936525003675	28.0241582858901	17.2383697845101
YAL060W	BDH1	22.5584933196267	19.5930096459821	27.4680645068332	54.0265673538088	38.7312628479909	77.4298884928558
YAL061W	BDH2	5.9091975912865	2.95163426190664	4.92571830829049	15.2206249080728	28.4083370230508	54.764423555346
YAL062W	GDH3	5.9318530582605	6.91466339712064	3.95597497134246	18.188062397503	17.1755007304792	17.1682641953958
YAL063C	FLO9	1.12226282645972	2.23912266117175	1.12399423387663	9.61061518429792	8.00210860401593	5.24378934632826
YAL063C-A	YAL063C-A	0	0	0	0.974800853397979	0	0.974270239805763
YAL064C-A	TDA8	0	0	0	0	0	0
YAL064W	YAL064W	0	0	0	0	0.974691150402637	0.974280485165772
YAL064W-B	YAL064W-B	0.804568133825435	0	0	0	1.26522262505787	0
YAL065C	YAL065C	0	0.806125240791001	0	0	0	0
YAL066W	YAL066W	0	0	0	0	0	0
YAL067C	SEO1	0.984032128515672	0	0	2.96297824603372	1.97507576994848	1.9742436306742
YAL067W-A	YAL067W-A	0	0	0	0	0	0
YAL068C	PAU8	1.60868314642384	0.798362123211339	0.798872385014501	4.05247463424333	12.1559278974172	8.1005375010589
YAL068W-A	YAL068W-A	0	0	0	0	0.974687966618115	0
YAL069W	YAL069W	0	0	0	0.974805862494545	0.974685910628627	0
YAR002C-A	ERP1	30.9874461175608	48.680759469445	60.0475420753979	82.5938980110632	68.6410261468488	98.6299019574224
YAR002W	NUP60	32.8162153360973	27.8274588186915	38.800988386244	60.242840096649	48.1883416303889	73.2555585333189
YAR003W	SWD1	13.8010162318546	7.87869112189032	13.8051522535406	17.2322755106532	13.1760009094801	22.2884529527507
YAR007C	RFA1	53.9212387005512	40.9229551846188	44.9590574932428	66.9728950717657	56.9699293775112	68.9345423740467
YAR008W	SEN34	1.92070967312247	1.91679681287519	4.80047057813029	14.6181552914992	8.35220370882664	10.435855849282
YAR009C	YAR009C	17199.1863224046	18805.1465091697	17045.849562702	16685.7082143377	16457.7068554253	15858.0320758899
YAR010C	YAR010C	6235.72127961448	6938.18508448344	6002.74014053701	6119.41144719328	6183.42756234734	5726.61785168929
YAR014C	BUD14	36.0650100415016	31.0472184203871	50.121020573693	60.7629463763839	83.6632692136216	83.6280194652091
YAR015W	ADE1	43.562522165498	44.4544139545503	37.753726348714	65.1750104683111	91.0269073526351	64.1055729084385
YAR018C	KIN3	12.8266300723842	11.8289920562007	13.8176708489833	14.1774015959663	15.1882039488215	13.1575640976323
YAR019C	CDC15	10.0785924975342	15.1175233010342	18.1547477848563	34.6423067320128	31.6690686733367	39.5696569714464
YAR019W-A	YAR019W-A	0	0	0	0	0	0
YAR020C	PAU7	0	0	0	0	0	0
YAR023C	YAR023C	1.73962615613477	0	0	1.06265001110766	5.31259625477911	0
YAR027W	UIP3	12.3044151096849	12.2704989078704	17.9725555470195	35.057825504519	31.8668286705566	46.7183233024652
YAR028W	YAR028W	11.3528081978818	3.77374950846289	10.4003847225296	13.8181726055257	29.7585555943396	29.7460174523873
YAR029W	YAR029W	0	0	0	0.974836987550781	2.92415109329098	0.974306354746853
YAR030C	YAR030C	0	0.66952021468686	0	0	1.25563027313842	1.255101239844
YAR031W	PRM9	5.79751463862179	4.82262995154526	7.72966156470146	13.4776109395022	16.5857876624728	26.940549344972
YAR033W	MST28	2.83820205464067	1.886874749019	2.83646855672432	12.7552362573533	10.6280555702983	10.6235776671674
YAR035C-A	YAR035C-A	0	0	0	0	0	0
YAR035W	YAT1	7.03830069084669	5.02578260314428	2.01214792361131	4.00506963525778	0	4.00288956048694
YAR042W	SWH1	66.7049188446987	61.657441194899	74.8492528823712	103.622533281792	93.7421838530081	101.59344019674
YAR047C	YAR047C	0	0.616329851543778	0	0	1.33544134466042	1.33487868406033
YAR050W	FLO1	6.98426263456301	6.08252560399803	6.98933166487565	8.11661181783626	5.784891180963	7.54950291254872
YAR053W	YAR053W	0	0	0	0	0	0
YAR060C	YAR060C	0	0	0.656148341547383	0	3.8232814174017	1.27389018682288
YAR061W	YAR061W	0	0	0	0	0	0
YAR062W	YAR062W	0.890840408010083	0	0	0	1.04834976892223	1.04790807306601
YAR064W	YAR064W	0	0	0	0	0	0
YAR066W	YAR066W	0.929931674821833	3.70701597696254	10.2156297055805	6.51465310806751	3.25692572408796	5.42592248283458
YAR068W	YAR068W	2.67635922843852	0.887664716334439	2.66908781606089	10.322197345861	13.761236219999	10.3165786622994
YAR069C	YAR069C	0	0	1.02384555938156	0	0	0
YAR070C	YAR070C	0	0	0	0	0	0
